Labels,MNI_x,MNI_y,MNI_z,SPINV_x,SPINV_y,SPINV_z,Talairach x,Talairach x stdev,Talairach y,Talairach y stdev,Talairach z,Talairach z stdev,Anatomical Structure,Gyri,Brodmann Area
C4,67,-13,65,66.5,-12.8,65.11,50.3,4.6,-18.8,8.3,53,6.4,Right Parietal Lobe,Postcentral Gyrus ,123
C6,82,-15,29,82.3,-14.84,28.53,65.2,2.6,-18,7.1,26.4,6.4,Right Parietal Lobe,Postcentral Gyrus ,123
T8/T4,84,-17,-12,84.44,-16.65,-11.79,67.4,2.3,-18.5,6.9,-3.4,7,Right Temporal Lobe,Middle temporal Gyrus,21
TP7,-82,-47,-9,-81.59,-46.89,-9,-63.6,4.5,-44.7,7.2,-4,6.6,Left Temporal Lobe,Middle temporal Gyrus,21
CP5,-79,-48,32,-79.2,-47.79,31.66,-61.8,4.7,-46.2,8,22.5,7.6,Left Parietal Lobe,Supramarginal Gyrus ,40
CP3,-66,-48,69,-65.51,-48.48,68.57,-46.9,5.8,-47.7,9.3,49.7,7.7,Left Parietal Lobe,Inferior parietal Gyrus,40
CP1,-36,-49,91,-35.96,-48.88,91.42,-24,6.4,-49.1,9.9,66.1,8,Left Parietal Lobe,Postcentral Gyrus ,7
CPZ,0,-49,98,-0.42,-48.77,98.37,0.7,4.9,-47.9,9.3,72.6,7.7,Median Parietal Lobe,Postcentral Gyrus ,7
CP2,36,-49,92,35.55,-48.75,91.92,25.8,6.2,-47.1,9.2,66,7.5,Right Parietal Lobe,Postcentral Gyrus ,7
CP4,65,-48,69,65.03,-48.35,68.57,49.5,5.9,-45.5,7.9,50.7,7.1,Right Parietal Lobe,Inferior parietal Gyrus,40
CP6,80,-48,32,79.61,-47.83,31.9,62.9,3.7,-44.6,6.8,24.4,8.4,Right Parietal Lobe,Supramarginal Gyrus ,40
TP8,82,-47,-9,82.33,-46.75,-8.91,64.6,3.3,-45.4,6.6,-3.7,7.3,Right Temporal Lobe,Middle temporal Gyrus,21
P9,-67,-74,-45,-67.42,-74.11,-44.53,-50.8,4.7,-51.3,8.6,-37.7,8.3,Left Temporal Lobe,Tonsile,Not Pertinent
P7/T5,-71,-75,-4,-71.46,-75.17,-3.7,-55.9,4.5,-64.8,5.3,0,9.3,Left Temporal Lobe,Inferior temporal Gyrus,37
P5,-68,-78,30,-67.76,-77.87,29.56,-52.7,5,-67.1,6.8,19.9,10.4,Left Temporal Lobe,Middle temporal Gyrus,39
P3,-55,-80,59,-55.07,-80.11,59.44,-41.4,5.7,-67.8,8.4,42.4,9.5,Left Parietal Lobe,Precuneus  ,19
P1,-31,-82,78,-30.65,-81.86,77.89,-21.6,5.8,-71.3,9.3,52.6,10.1,Left Parietal Lobe,Precuneus  ,7
Pz,-1,-82,82,-0.87,-82.23,82.43,0.7,6.3,-69.3,8.4,56.9,9.9,Median Parietal Lobe,Superior parietal Lobule,7
P2,29,-82,78,29.11,-81.54,78.13,24.4,6.3,-69.9,8.5,53.5,9.4,Right Parietal Lobe,Precuneus  ,7
P4,54,-80,59,53.51,-80.13,59.4,44.2,6.5,-65.8,8.1,42.7,8.5,Right Parietal Lobe,Inferior parietal Lobule,7
P6,67,-78,30,66.78,-77.87,29.68,54.4,4.3,-65.3,6,20.2,9.4,Right Temporal Lobe,Middle temporal Gyrus,39
P8/T6,71,-75,-4,71.1,-75.17,-3.69,56.4,3.7,-64.4,5.6,0.1,8.5,Right Temporal Lobe,Inferior temporal Gyrus,19
P10,69,-74,-44,68.5,-74.41,-44.45,51,3.5,-53.9,8.7,-36.5,10,Left Occipital Lobe,Tonsile  ,Not Pertinent
PO7,-54,-99,3,-53.82,-99.37,2.66,-44,4.7,-81.7,4.9,1.6,10.6,Left Occipital Lobe,Middle occipital Gyrus,18
PO5,-48,-101,23,-47.83,-101.21,23.44,-43.4,,-99.7,,13.6,,Left Occipital Lobe,,19
PO3,-36,-103,40,-36.38,-102.71,40.17,-33.3,6.3,-84.3,5.7,26.5,11.4,Left Occipital Lobe,Superior occipital Gyrus,19
POZ,-1,-105,52,-1.46,-104.92,52.42,0,6.5,-87.9,6.9,33.5,11.9,Median Occipital Lobe,Cuneus  ,19
PO4,34,-103,40,34.29,-102.91,39.96,35.2,6.5,-82.6,6.4,26.1,9.7,Right Occipital Lobe,Superior occipital Gyrus,19
PO6,47,-101,23,46.62,-101.16,23.15,43,,-99.8,,13.7,,Right Occipital Lobe,,19
PO8,53,-99,3,53.04,-99.28,2.78,43.3,4,-82,5.5,0.7,10.7,Right Occipital Lobe,Middle occipital Gyrus,18
I1/CB1,-28,-114,-29,-27.61,-113.68,-29.05,-27,,-114.4,,-31.9,,Left Occipital Lobe,,18
O1,-29,-115,10,-28.98,-114.52,9.67,-25.8,6.3,-93.3,4.6,7.7,12.3,Left Occipital Lobe,Middle occipital Gyrus,18
OZ,-1,-118,16,-1.41,-117.79,15.84,0.3,5.9,-97.1,5.2,8.7,11.6,Median Occipital Lobe,Cuneus  ,18
O2,27,-115,9,26.89,-114.68,9.45,25,5.7,-95.2,5.8,6.2,11.4,Right Occipital Lobe,Middle occipital Gyrus,18
I2/CB2,25,-114,-29,25.35,-114.31,-29.44,25.4,,-114.1,,-31.9,,Right Occipital Lobe,,18
IZ,,,,,,,-0.8,,-118.3,,-26.7,,Median Occipital Lobe,,
