Labels,MNI_x,MNI_y,MNI_z,SPINV_x,SPINV_y,SPINV_z,Talairach x,Talairach x stdev,Talairach y,Talairach y stdev,Talairach z,Talairach z stdev,Anatomical Structure,Gyri,Brodmann Area
FP1,-27,84,-11,-26.81,84.06,-10.56,-21.2,4.7,66.9,3.8,12.1,6.6,Left Frontal Lobe,Superior frontal Gyrus,10
FPZ,1,86,-4,1.14,86.49,-3.79,1.4,2.9,65.1,5.6,11.3,6.8,Median Frontal Lobe,Bilat. medial ,10
FP2,29,84,-10,29.41,83.74,-10.04,24.3,3.2,66.3,3.5,12.5,6.1,Right Frontal Lobe,Superior frontal Gyrus,10
AF7,-51,68,-15,-51.22,68.2,-14.91,-41.7,4.5,52.8,5.4,11.3,6.8,Left Frontal Lobe,Middle frontal Gyrus,10
AF3,-33,76,20,-32.69,76.35,19.76,-32.7,4.9,48.4,6.7,32.8,6.4,Left Frontal Lobe,Superior frontal Gyrus,9
AFZ,1,80,34,1.25,79.68,33.7,1.8,3.8,54.8,7.3,37.9,8.6,Median Frontal Lobe,Bilat. medial ,9
AF4,35,76,21,35.13,75.84,20.72,35.1,3.9,50.1,5.3,31.1,7.5,Right Frontal Lobe,Superior frontal Gyrus,9
AF8,54,68,-14,53.61,67.74,-14.46,43.9,3.3,52.7,5,9.3,6.5,Right Frontal Lobe,Middle frontal Gyrus,10
F7,-67,42,-16,-66.99,41.69,-15.96,-52.1,3,28.6,6.4,3.8,5.6,Left Frontal Lobe,Inferior frontal Gyrus,45
F5,-63,47,14,-62.61,47.12,13.96,-51.4,3.8,26.7,7.2,24.7,9.4,Left Frontal Lobe,Middle frontal Gyrus,46
F3,-48,52,40,-48.05,51.87,39.87,-39.7,5,25.3,7.5,44.7,7.9,Left Frontal Lobe,Middle frontal Gyrus,8
F1,-26,55,59,-25.74,55.24,58.7,-22.1,6.1,26.8,7.2,54.9,6.7,Left Frontal Lobe,Superior frontal Gyrus,6
Fz,1,57,66,0.9,57.01,66.36,0,6.4,26.8,7.9,60.6,6.5,Median Frontal Lobe,Bilat. medial ,6
F2,28,55,60,27.94,55.43,59.76,23.6,5,28.2,7.4,55.6,6.2,Right Frontal Lobe,Superior frontal Gyrus,6
F4,50,52,41,50.38,51.84,41.33,41.9,4.8,27.5,7.3,43.9,7.6,Right Frontal Lobe,Middle frontal Gyrus,8
F6,65,47,15,64.62,46.78,14.79,52.9,3.6,28.7,7.2,25.2,7.4,Right Frontal Lobe,Middle frontal Gyrus,46
F8,69,41,-15,68.71,41.16,-15.31,53.2,2.8,28.4,6.3,3.1,6.9,Right Frontal Lobe,Inferior frontal Gyrus,45
FT9,-76,12,-57,-76.06,12.16,-56.71,-53.8,3.3,-2.1,6,-29.1,6.3,Left Temporal Lobe,Inferior temporal Gyrus,20
FT7,-77,13,-15,-76.93,13.18,-14.71,-59.2,3.1,3.4,5.6,-2.1,7.5,Left Temporal Lobe,Superior temporal Gyrus,22
FC5,-74,18,22,-74.34,17.51,22.41,-59.1,3.7,3,6.1,26.1,5.8,Left Frontal Lobe,Precentral Gyrus ,6
FC3,-59,21,55,-58.83,21.02,54.82,-45.5,5.5,2.4,8.3,51.3,6.2,Left Frontal Lobe,Middle frontal Gyrus,6
FC1,-32,23,78,-31.71,23.1,77.98,-24.7,5.7,0.3,8.5,66.4,4.6,Left Frontal Lobe,Superior frontal Gyrus,6
FCz,1,25,88,0.57,24.63,87.63,1,5.1,1,8.4,72.8,6.6,Median Frontal Lobe,Superior frontal Gyrus,6
FC2,33,24,78,33.06,23.57,78.33,26.1,4.9,3.2,9,66,5.6,Right Frontal Lobe,Superior frontal Gyrus,6
FC4,60,21,56,60.29,21.16,55.58,47.5,4.4,4.6,7.6,49.7,6.7,Right Frontal Lobe,Middle frontal Gyrus,6
FC6,76,17,23,76.41,17.39,23.06,60.5,2.8,4.9,7.3,25.5,7.8,Right Frontal Lobe,Precentral Gyrus ,6
FT8,78,13,-14,78.31,12.78,-14.33,60.2,2.5,4.7,5.1,-2.8,6.3,Right Temporal Lobe,Superior temporal Gyrus,22
FT10,77,12,-56,77.4,12.15,-55.93,55,3.2,-3.6,5.6,-31,7.9,Right Temporal Lobe,Inferior temporal Gyrus,20
T7/T3,-83,-17,-13,-83.36,-16.52,-12.65,-65.8,3.3,-17.8,6.8,-2.9,6.1,Left Temporal Lobe,Middle temporal Gyrus,21
C5,-81,-15,29,-80.91,-14.68,28.57,-63.6,3.3,-18.9,7.8,25.8,5.8,Left Parietal Lobe,Postcentral Gyrus ,123
C3,-66,-13,65,-65.57,-13.25,64.98,-49.1,5.5,-20.7,9.1,53.2,6.1,Left Parietal Lobe,Postcentral Gyrus ,123
C1,-35,-12,89,-35.28,-12.01,88.9,-25.1,5.6,-22.5,9.2,70.1,5.3,Left Frontal Lobe,Precentral Gyrus ,4
Cz,0,-11,100,0.23,-11.28,99.81,0.8,4.9,-21.9,9.4,77.4,6.7,Median Frontal Lobe,Precentral Gyrus ,4
C2,36,-12,89,36.27,-11.81,89.34,26.7,5.3,-20.9,9.1,69.5,5.2,Right Frontal Lobe,Precentral Gyrus ,4
